"Name","All data available","A of surface tension [erg cm^-2] (from a + b*temp)","B of surface tension [erg cm^-2 K-1] (from a + b*temp)","Density of solid [g/cm^3]","Radius of monomer [cm]","Mass of monomer [amu]"," Base of vapour pressure","Pre of vapoure pressure [dyn] (base**(a/T + b + c*T + d*T^2 + e*T^3))","A of vapoure pressure [K^2] (base**(a/T^2 + b/T + c + d*T + e*T^2 + f*T^3))","B of vapoure pressure [K] (base**(a/T^2 + b/T + c + d*T + e*T^2 + f*T^3))","C of vapoure pressure [1] (base**(a/T^2 + b/T + c + d*T + e*T^2 + f*T^3))","D of vapoure pressure [1/K] (base**(a/T^2 + b/T + c + d*T + e*T^2 + f*T^3))","E of vapoure pressure [1/K^2] (base**(a/T^2 + b/T + c + d*T + e*T^2 + f*T^3))","F of vapoure pressure [1/K^3] (base**(a/T^2 + b/T + c + d*T + e*T^2 + f*T^3))","Taken from","sources"
"Al2O3","yes","1024.0","-0.177","3.96","2.169e-8","101.96128","exp","1.01325e6","0","-73503","22.005","0","0","0","Mini-cloud","Pradhan et al. (2009); radius approximated by volume and density"
"C","special","1400","0","2.25","1.284e-8","12.01070","x","x","x","x","x","x","x","x","Mini-cloud","Tabak et al. (1995); radius approximated by volume and density"
"CaTiO3","yes","494.0","0","4.1","2.360e-8","135.9432","exp","1.01325e6","0","-79568.2","42.0204","0","0","0","Mini-cloud","Kozasa et al. (1987); radius approximated by volume and density"
"CH4","special","14","0","0.47","2.383e-8","16.043","x","x","x","x","x","x","x","x","Mini-cloud","USCG (1984); Lee et al. (2018)"
"Cr","yes","2068.63","-0.2","7.19","1.421e-8","51.996","exp","1","0","-4.78455e+4","3.22423e1","-5.28710e-4","-6.17347e-8","2.88469e-12","Mini-cloud","http://www.kayelaby.npl.co.uk/general_physics/2_2/2_2_5.html; Lee et al. (2018)"
"CsCl","yes","100","0","3.99","2.557e-8","168.359","exp","1","0","-23055.3","29.9665","0","0","0","DiBDaESP","Lee et al. (2018)"
"Fe","special","2565.23","-0.39","7.87","1.412e-8","55.8450","x","x","x","x","x","x","x","x","Mini-cloud","http://www.kayelaby.npl.co.uk/general_physics/2_2/2_2_5.html; radius approximated by volume and density"
"FeO","yes","410","0","6.0","1.681e-8","71.8444","exp","1","0","-6.30018e4","3.66364e1","-2.42990e-3","3.18636e-7","0","Mini-cloud","Janz 1988; GGChem 5 polynomial NIST fit; radius approximated by volume and density"
"Fe2O3","no","410","0","5.25","2.293e-8","159.6882","x","x","x","x","x","x","x","x","Mini-cloud","radius approximated by volume and density"
"FeS","no","x","x","4.7","1.950e-8","87.9100","exp","1","0","-5.69922e4","3.86753e1","-4.68301e-3","1.03559e-6","-8.42872e-11","Mini-cloud","GGChem 5 polynomial NIST fit; radius approximated by volume and density"
